year,hires,terminations,net_change,net_chang_percent
2000,220,31,189,85.9091
2001,1122,203,919,81.9073
2002,1067,174,893,83.6926
2003,1142,203,939,82.2242
2004,1135,211,924,81.4097
2005,1097,207,890,81.1304
2006,1118,221,897,80.2326
2007,1090,182,908,83.3028
2008,1108,190,918,82.8520
2009,1140,201,939,82.3684
2010,1099,205,894,81.3467
2011,1101,187,914,83.0154
2012,1103,202,901,81.6863
2013,1105,192,913,82.6244
2014,1053,177,876,83.1909
2015,1059,191,868,81.9641
2016,1122,201,921,82.0856
2017,1091,190,901,82.5848
2018,1147,178,969,84.4813
2019,1083,210,873,80.6094
2020,1012,173,839,82.9051
